[2026-02-21 21:44:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 5, 'op': 0, 'd': {'id': '1474845179935719577', 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:36] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-02-21 21:44:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 6, 'op': 0, 'd': {'id': '1474845178169655438', 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:39] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-02-21 21:44:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1474830547443257494', 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:43] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-02-21 21:44:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1474830550501163160', 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:46] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-02-21 21:44:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 9, 'op': 0, 'd': {'id': '1474830545174265949', 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:49] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2026-02-21 21:44:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 10, 'op': 0, 'd': {'user_id': '802122684061188137', 'timestamp': 1771703094, 'member': {'user': {'username': 'shinji_nai', 'public_flags': 0, 'primary_guild': None, 'id': '802122684061188137', 'global_name': 'Cheezus', 'display_name_styles': None, 'display_name': 'Cheezus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '2375696e5c2a8bb4d9154b2b6a1d94b2'}, 'roles': ['1238953859175682048'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-05-03T13:21:26.623000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1235944311883956255', 'guild_id': '1235944311393095720'}}
[2026-02-21 21:44:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-21 21:44:53] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-21 21:44:53] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-21 21:44:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
